CLIENTNUMBER,EntityType,ClientName,UnitDescription,Street,City,State_Prov,Country,Fax Number,EMail,URL,Zip Code,Telephone Number,Date Acquired,CountryCode,Industry,DateEntered,ClientType,AccountOfficer,ContactPerson
11651,2,FULLMARK PRIVATE LIMITED,,"10, Soon Lee Road",Jurong Town,Singapore,,,,,,,,SG,,8/8/2014,D,Attn.:  MS. L K Seet,Attn.:  MS. L K Seet
11664,2,ELF SANOFI,,"32/34, Rue Marbeuf 75008",Paris,,,,,,,,,FR,,8/8/2014,D,,
11679,2,HOWSON & HOWSON,,One Spring House Corporate Center,"Box 457, 321 Norristown Road","Spring House, PA 19477, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11683,2,PATENTANWALTE DIPL. ING. RUPERT LEMCKE AND DR. ING. HANS H. BRIOMMER,,"BISMARCKSTRASSE 16,  Box 4026","D-76025 Karlsruhe 1,",West Germany,,,,,,,,GER,,8/8/2014,D,.,.
11698,2,EXTERPATENT,,Octrooi-En Merkenbureau Van Exter B.V.,P.O. BOX 3241,"2280 GE Rijswijk, The Netherlands",,,,,,,,NL,,8/8/2014,D,.,.
11700,0,SANOFI SANTE NUTRITION ANIMALE,,"51, Rue d'Anjou",75008 Paris,FRANCE,,,,,,,,FR,,8/8/2014,D,,
11715,2,FIBER MARKETING DEPARTMENT,,P.O. Box 1215,Makati Central Post Office,1252 Makati City,,,,,,,,PH,,8/8/2014,D,Attn.:  F. RUEHRNOESSL,Attn.:  F. RUEHRNOESSL
11721,2,"FERRER INTERNACIONAL, S.A.",,Centro De Investigacion Grupo Ferrer,"Juan de Sada, 32","08028 Barcelona, Espana",,,,,,,,ES,,8/8/2014,D,Attn.: Dr. J.M. Castello,Attn.: Dr. J.M. Castello
11734,2,FILSYN CORPORATION,,BA-Lepanto Building,Paseo de Roxas Street,Makati City,,,,,,,,PH,,8/8/2014,D,Attention:  MR. SESENIO RAVALO,Attention:  MR. SESENIO RAVALO
11749,2,FLAM & FLAM LAW OFFICES,,"Two Century Plaza, Suite 5161",2049 Century Park East,"Los Angeles, California 90067, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11753,2,"HAMILTON, BROOK, SMITH & REYNOLDS, P.C.",,Two Militia Drive,"Lexington, Massachusetts 02173-4799",U. S. A.,,,,,,,,PH,,8/8/2014,D,,
11768,2,NAKAGAWA & YAMAKAWA LAW OFFICE,,"Nishi-Shimbashi 2chome Mori Bldg, 5F","22-1 Nishi-Shimbashi 2-chome, Minato-ku,","Tokyo 105-0003, Japan",,?5402-4940,,,,?5402-4930,,JPN,,8/8/2014,D,,
11772,2,FREDERICK GOTHA,,80 South Lake Avenue,"Suite 823, Pasadena, California 91101",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11787,2,"FLEHR, HOHBACH, TEST, ALBRITTON & HERBERT",,4 Embarcadero Center,Suite 3400 San Francisco,"CA, 94111-4187, U. S. A.",,,,,,,,USA,,8/8/2014,D,Attention: MS. WENDY DEA-MATTSON,Attention: MS. WENDY DEA-MATTSON
11791,2,"GOLDEN PIZZA, INC.",,"3rd Floor, Tuscan Building","Herrera Street, Legaspi Village",Makati City,,,,,,,,PH,,2/27/2015,P,,
11804,2,JOHNSON & JOHNSON,,INTERNATIONAL PATENT LAW DIVISION,"P.O.  Box 1222 New Brunswick, N.J. 08933-7003",U.S.A.,,,,,,,,USA,,8/8/2014,D,,
11819,2,GENERAL FOODS CORPORATION,,250 North Street,"White Plains, N. Y. 10625",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11823,2,HOOGOVENS GROEP BV,,Postbus 10.000,1970 CA IJmuiden Nederland,,,,,,,,,NL,,8/8/2014,D,,
11838,2,GOTO & ASSOCIATES,,Nagoya Mihiro Building,"18-22, Maru-no-uchi 2-chome","Naka-ku, Nagoya 460, Japan",,,,,,,,JPN,,8/8/2014,D,,
11842,2,HEINZ WORLD HEADQUARTERS,,P. O. BOX 57,"Pittsburgh, Pennsylvania",15230-0057 U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11857,0,WORLD VISION INTERNATIONAL,,800 W. Chestnut Ave.,"Monrovia, CA 91016",U. S. A.,,,,,,,,USA,,8/8/2014,D,Attention: MS. JENICE L. RUTHERFORD,Attention: MS. JENICE L. RUTHERFORD
11861,2,"GROW GROUP, INC.",,Pan Am Building,200 Park Avenue,"New York, New York 10166, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11876,2,"COOPER, WHITE & COOPER",,"201 California Street, 17th Floor","San Francisco, California 94111",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11880,2,HAAGSCH OCTROOIBUREAU,,P. O. Box 97702,2509 GC Den Haag,Netherlands,,,,,,,,NL,,8/8/2014,D,,
11895,2,JOHNSON & JOHNSON G.m.b.H.,,Kaiserswerther Strasse 270,P.O. Box 10 37 11,"40028 Dusseldorf, Germany",,,,,,,,GER,,8/8/2014,D,,
11908,2,"HERZOG, CREB & MCGHEE",,One City Centre-24th Floor,515 North Sixth Street,"St. Louis, Missouri 63101-2409, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11912,2,EICHI Patent & Trademark Corporation,,"45-13, Sengoku 4-chome, Bunkyo-ku,","Tokyo, 112-0011, Japan",,JAPAN,813-3943-5714,www@eichi-patent.jp,,,813-3943-5704,,JPN,,8/8/2014,D,,
11927,2,"HEAD, JOHNSON & KACHIGIAN",,Moore Manor,228 West 17th Place,"Tulsa, Oklahoma 74119, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11931,2,"HILL, STEADMAN & SIMPSON",,"85TH FLOOR, SEARS TOWER","CHICAGO, ILLINOIS 60606",UNITED STATES OF AMERICA,,(312) 876-0898,,,,(312) 876-0200,,USA,,8/8/2014,D,R. DENNIS CLAESSENS,R. DENNIS CLAESSENS
11946,2,"WINTHROP, STIMSON, PUTMAN & ROBERTS",,One Battery Park Plaza,"New York, NY 10004-1490",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11950,2,"MESSRS. HOPGOOD, CALIMAFDE, KALIL, BLAUSTEIN & JUDLOWE",,"Lincoln Building, 60 East 42nd Street","New York, N. Y. 10165",U. S. A.,,,,,,,,USA,,8/8/2014,D,.,.
11965,2,HOSHINO INTERNATIONAL PATENT OFFICE,,"Hoshino Building, Floor 3","35-8, Akabane-nishi 1-chome","Kita-ku, Tokyo, Japan",,,,,,,,JPN,,8/8/2014,D,,
11971,2,"GLASER, GRIGGS & SCHWARTZ",,"12900 Preston Rd., Suite 1202","Dallas, Texas 75230-1328",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11984,2,"GORDON W. HUESCHEN, ESQ.",,"715 The H"" Building""",310 East Michigan Avenue,"Kalamazoo, Michigan 49007",,,,,,,,USA,,8/8/2014,D,,
11999,2,INTELLECTUAL INTERNATIONAL PATENT   & TRADEMARK OFFICE,,"8th Flr. #52, Chang An East Road, Sec 2","Taipei 10405, Taiwan",Republic of China,,,,,,,,CH,,8/8/2014,D,.,.
12008,0,ORION INTERNATIONAL PATENT OFFICE,,"No. 318, Sanno Urban Life, 1-8, 2-chome, Sanno","Ota-ku, Tokyo 143-0023",Japan,,,,,,,,JPN,,8/8/2014,D,.,.
12012,2,GTE TELEPHONE OPERATIONS,,600 Hidden Ridge Drive HQE03J09,P.O. Box 152092,"Irving, Texas 750152092",,,,,,,,USA,,8/8/2014,D,,
12027,1,"ISONO INTERNATIONAL PATENT OFFICE, P.C.",,"Hulic Toranomon Building 11th Floor,","1-1-18, Toranomon, Minato-ku",Tokyo 105-0001,JPN,813-5501-0393,,,,813-5501-0392,,JPN,,10/20/2017,D,,
12031,2,ISSHIKI INTERNATIONAL PATENT OFFICE,,Rookin-Shinbashi Bldg. 3F,"12-7, Shinbashi 2-chome","Minato-ku, Tokyo 105, Japan",,,,,,,,JPN,,8/8/2014,D,,
12046,2,MIYATAKI PATENT OFFICE,,"5th Floor, Broderie Nishi-Shimbashi,","9-1, Nishi-Shimbashi 1-chome","Minato-ku, Tokyo 105, Japan",,,,,,,,JPN,,8/8/2014,D,,
12050,1,JOHNSON & JOHNSON (PHILS.) INC.  5531,,,"Km. 15, Bo. Ibayo, Edison Road",Paranaque City,,,,,,,,PH,,8/8/2014,P,,
12065,2,INTERNATIONAL NUTRITION CO. APS,,Holbergsgade 6,DK-1099 Copenhagen,Denmark,,,,,,,,DE,,8/8/2014,D,,
12071,0,C. O. D.,,"Km. 15, Bo. Ibayo",Edison Road,"Paranaque, Metro Manila",,,,,,,,PH,,8/8/2014,P,,
12084,2,JANSSEN PHARMACEUTICA,,Attn.: MS. MERELYN PASIA,"Johnson & Johnson Phils., Compound",Edison Road  Bo. Ibayo,1700 Paranaque City,,,,,,,PH,,4/11/2018,P,,
12099,2,"JOHNSON & JOHNSON  (PHILS.), INC.                  5531",,Attn.: Ms. Ofelia Malagkit/J & J Consumer,"Km. 15, Bo. Ibayo, Edison Road",Paranaque City,,,,,,,,PH,,8/8/2014,P,,
12101,2,KALISH & GILSTER,,720 Olive St. 25th Fl.,"St. Louis, Missouri 63101-2338",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
12116,2,"SKADDEN, ARPS, SLATE, MEAGHER & FLOM",,919 Third Avenue,New York 10022-3897,U. S. A.,,,,,,,,USA,,8/8/2014,D,,
12120,2,KASUYA PATENT OFFICE,,Kato Building,"3-20, Hirano-machi","Higashi-ku, Osaka, Japan 541",,,,,,,,JPN,,8/8/2014,D,,
12135,2,KOMATSU TECHNO BRAIN LTD.,,"10-1, Saga 1-chome","Koto-ku, Tokyo 135",Japan,,,,,,,,JPN,,8/8/2014,D,,
12141,2,"AMA DDB PHILIPPINES, INC.",,11/F JMT Corporate Condominium,ADB Avenue,Pasig City,,,,,,,,PH,,8/8/2014,P,,
12154,2,SASANO & ASSOCIATES,(formerly KATO PATENT OFFICE),"Round Cross Akasaka Bldg.,","3F-B,2-10-9 Akasaka,","Minato-ku, Tokyo 107-0052, Japan",,81-3-3584-5084,,,,81-3-3224-0244,,JPN,,11/10/2016,D,TSUNEHISA KATO,TSUNEHISA KATO
12169,2,KIMURA INTERNATIONAL PATENT    & TRADEMARK OFFICE,,"Room 912, Hosokawa Bldg.",1-17 Akasaka 1-chome,"Minato-ku, Tokyo 107, Japan",,,,,,,,JPN,,8/8/2014,D,.,.
12173,2,J. CORDON COMMERCIAL CORP.,,The Phil. Trade Center For Population and Developm,"PCPD Compound, Pasong Tamo Extension",Makati City,,,,,,,,PH,,8/8/2014,P,,
12188,2,KARAMI PATENT OFFICE,,4-24-4 Eifuku Suginami,Tokyo,Japan,,,,,,,,JPN,,8/8/2014,D,,
12192,2,M. MATSUI & ASSOCIATES,,"City Heim Cosmo, Rm. 1003",31-4 Honcho 1-chome,"Nakano-ku, Tokyo, 164 Japan",,,,,,,,JPN,,8/8/2014,D,,
12205,2,"KINNEY & LANGE, P.A.",,312 South 3rd Street,"Minneapolis, Minnesota",55415-1002 U. S. A.,,,,,,,,USA,,8/8/2014,D,,
12211,1,KISHIMOTO & CO.,,"Naniwasuji SIA Bldg., 16F","2-4-2, Shinmachi, Nishi-ku,","Osaka-shi, Osaka 550-0013",Japan,816-6531-2502,,,,816-6531-2501,,JPN,,9/19/2018,D,MS. Y. KIYOSUE,MS. Y. KIYOSUE
12224,2,KITAMURA PATENT OFFICE,,"16th Floor,  Nakanoshima Mitsui Building 3-3,","Nakanoshima 3-chome, Kita-ku",Osaka 530-0005 Japan,,(813) 3595-1585,,,,,,JPN,,8/8/2014,D,MASAE TAKENAKA,MASAE TAKENAKA
12239,2,"KLARQUIST, SPARKMAN, CAMPBELL, LEIGH &   WHINSTON",,"One World Trade Center, Suite 1600",121 S. W. Salmon Street,"Portland, Oregon 97204, U. S. A.",,,,,,,,USA,,8/8/2014,D,.,.
12243,2,MEPRO COMPANY KIBBUTZ HAGOSHRIM LTD.,,Kibbutz Hagoshrim 12225,"D.N. Upper Galilee, Israel",,,,,,,,,ISR,,8/8/2014,D,.,.
12258,2,"KNOBBE, MARTENS, OLSON & BEAR",,620 Newport Center Drive,Sixteenth Floor,"Newport Beach, California 92660-8016, U. S. A.",,,,,,,,USA,,5/7/2019,P,,
12262,2,KOEHRING COMPANY,,P. O. Box 312,780 N. Water Street,"Milwaukee, Wisconsin 53201, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
12277,2,"DORN, McEACHRAN, JAMBOR & KEATING",,55 East Monroe Street,Suite 2940,"Chicago, Illinois 60603-5880, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
12281,2,KOLSTER OY AB,,Iso Roobertinkatu 23,P. O. Box 148,"FIN-00121 Helsinki, Finland",,? 09 602 244,kolster@kolster.fi,,,? 09 618 821,,FI,,8/8/2014,D,Hilkka Kerminen,Hilkka Kerminen
12296,2,"KRAFT FOODS, INC.",,Three Lakes Drive,"Northfield, Illinois 60093-2753",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
12309,2,YANO PATENT OFFICE,,"2nd Floor, Kakuto Bldg., Takaracho",11-4 Kyobashi 2-chome,"Chuo-ku, Tokyo 104-0031",,813-3538-7118,,,,813-3538-7117,,JPN,,9/6/2016,D,,
12313,2,KURAUCHI INTERNATIONAL PATENT OFFICE,,"Yushi Kogyo Kaikan Bldg., 3d Floor","13-11, Nihonbashi 3-chome","Chuo-ku, Tokyo 103, Japan",,,,,,,,JPN,,8/8/2014,D,,
12328,2,"LACKENBACH, SIEGEL, MARZULLO & ARONSON",,Penthouse Suite,One Chase Road,"Scarsdale, New York 10583, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
12332,1,LADAS & PARRY,,1040 Avenue of the Americas,"New York, New York 10018-3738",,,212-246-8959,,,,212-708-3460,,USA,,1/3/2018,D,,
12347,2,"LAFF, WHITESEL, CONTE & SARET",,401 North Michigan Avenue,"Chicago, Illinois 60611-4212",U. S. A.,,,,,,,,USA,,8/8/2014,D,Attn.: Ms. Rita A. Abbati,Attn.: Ms. Rita A. Abbati
12351,2,LIEBERMAN & NOWAK,,292 Madison Avenue,"New York, New York 10017",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
12366,2,"LIFESCAN, INC.",,c/o Johnson & Johnson,One Johnson & Johnson Plaza,"New Brunswick, New Jersey 08933",USA,,,,,,,USA,,1/20/2015,D,,
12370,2,"LOUIS, POHLAU, LOHRENTZ & SEGETH",,"P.O. BOX 3055, 90014 Nurnberg",Germany,,,(0911) 511342,,,,(0911) 510360,,GER,,8/8/2014,D,,
12385,2,ARANT KLEINBERG LERNER & RAM,,2049 Century Park East Suite 1080,"Los Angeles, California 90067-3112",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
12391,2,METRO PACIFIC CORPORATION,,"41-42 Floors, Rufino Pacific Tower",Ayala Avenue corner Herrera Street,Makati City,,,,,,,,PH,,8/8/2014,P,,
12402,2,MERY ASIA INC.,,"#144 Amorsolo St., Legaspi Village",Makati City,,,,,,,,,,,8/8/2014,P,,
12417,2,"AST RESEARCH, INC.",,16215  Alton Parkway,"Irvine, California 92718",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
12421,2,"MASON, KOLEHMAINEN, RATHBURN & WYSS",,20 North Wacker Drive,Suite 4200,"Chicago, Illinois 60606-3184, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
12436,2,MCNEIL SPECIALTY PRODUCTS COMPANY,,DIVISION OF MCNEIL-PPC,P.O. Box 1222,"New Brunswick, N.J. 08903, U.S.A.",,,,,,,,USA,,8/8/2014,D,Attention:  MR. CHARLES J. METZ,Attention:  MR. CHARLES J. METZ
12440,2,MEAD PACKAGING,,P. O. Box 4417,"Atlanta, Georgia 30302",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
12455,2,MICHELI & CIE,,122 rue de Geneve,"Case postale 61, CH-1226","Geneve-Thonex, Switzerland",,,,,,,,SW,,8/8/2014,D,,
12461,2,"MILLEN, WHITE & ZELANO, P. C.",,"Arlington Courthouse Plaza 1, Suite 1201",2200 Clarendon Boulevard,"Arlington, Virginia 22202, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
12474,2,KUZUWA & PARTNER,,"T&T Building, 8/F, 8-21, Tomihisa-cho,","Shinjuku-ku, Tokyo 162-0067,",Japan,,?5366-9960,kuzupat@kuzuwa.com,,,?5366-9961,,JPN,,8/8/2014,D,,
12489,2,MINOURA PATENT OFFICE,,Hanabusa Building,"Kudan Bldg. 7F, 2-2, Kudankita 3-chome","Chiyoda-ku, Tokyo 102-0073 Japan",,,,,,,,JPN,,8/8/2014,D,Attn.: Kiyoshi Minoura,Attn.: Kiyoshi Minoura
12493,2,MIYAKE & IDE,,"9th Floor, Toranomon 23 Mori Bldg.","23-7, Toranomon 1-chome","Minato-ku, Tokyo Japan",,,,,,,,JPN,,8/8/2014,D,,
12506,2,MIYAMOTO PATENT & TRADEMARK OFFICE,,"Tokushima Building, 6th Floor","9-10, Minamisenba 3-Chome","Minami-ku, Osaka 542, Japan",,,,,,,,JPN,,8/8/2014,D,,
12510,2,AOYAMA & PARTNERS,,"Umeda Hankyu Bldg., Office Tower","8-1  Kakuda-cho, Kita-ku, Osaka","530-0017, Japan",,816-6316-0361,info@aoyamapat.gr.jp,,,816-6316-1261,,JPN,,8/8/2014,D,HIROKAZU SAKAMOTO,HIROKAZU SAKAMOTO
12525,2,MOGAMI PATENT OFFICE,,Nagatani City Plaza 201,"No. 8-1, Akasaka 1-chome, Minatoku, Tokyo 107",Japan,,,,,,,,JPN,,8/8/2014,D,,
12531,2,MEDTRONIC,,"MS 300     7000 Central Avenue, N.E.","Minneapolis, MN 55432",U. S. A.,,,,,,,,USA,,8/8/2014,D,.,.
